#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
war_elephants;War Beasts;;;;;;;;;;;;x;
war_elephants_offensive;War Beasts Offensive;;;;;;;;;;;;x;
war_elephants_defensive;War Beasts Defensive;;;;;;;;;;;;x;
war_elephants_morale;War Beasts Morale;;;;;;;;;;;;x;
tp_wall_q_1;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_q_2;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_q_3;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_q_4;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_q_5;Temple Fortifications;Fortifications de l'église;Kirchen-Befestigung;;Fortificaciones de la Iglesia;;;;;;;;;x
tp_wall_1;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_wall_2;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_wall_3;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_wall_4;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_wall_5;Temple Walls;Murailles de l'église;Kirchenmauern;;Muros de la Iglesia;;;;;;;;;x
tp_monastery_1;Temple;Église;Kirche;;Iglesia;;;;;;;;;x
tp_monastery_2;Temple;Église;Kirche;;Iglesia;;;;;;;;;x
tp_monastery_3;Temple;Église;Kirche;;Iglesia;;;;;;;;;x
tp_monastery_4;Great Temple;Abbaye;Kathedrale;;Catedral;;;;;;;;;x
tp_monastery_5;Great Temple;Abbaye;Kathedrale;;Catedral;;;;;;;;;x
tp_monastery_6;Great Temple;Abbaye;Kathedrale;;Catedral;;;;;;;;;x
tp_town_1;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_2;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_3;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_4;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
tp_town_5;Temple Town;Bourg;Kirchenstädtchen;;Pueblo de iglesia;;;;;;;;;x
